Gene ,A1,A2,A3,B1,B2,B3,C1,C2,C3
Pck2,307,340,384,158,164,144,116,115,100
Pclo,0,0,0,0,0,0,0,0,0
Pcm1,1201,1204,994,478,418,584,627,626,428
Pcmt1,1450,1455,1252,800,808,1114,1270,1111,918
Pcmtd1,629,656,541,413,410,476,718,606,481
Pcmtd2,500,403,366,602,473,677,458,348,316
Pcna,3138,4475,4451,1365,1186,1628,510,457,358
Pcnp,1567,1552,1220,1154,1042,1509,1186,1169,901
Pcnx,1870,1848,1419,1084,939,1228,1250,1250,910
Pcolce,16,12,20,5,1,2,5,5,8
PCOLCE2,59,82,60,3,3,5,4,4,5
Pcp2,0,0,0,0,0,0,0,0,1
Pcp4,0,0,0,0,0,0,0,0,1
Pcp4l1,0,0,0,0,2,3,0,0,1
Pcsk1,0,0,0,0,0,0,0,0,0
Pcsk1n,0,0,0,2,0,0,0,0,0
Pcsk2,0,0,1,0,0,0,0,0,1
Pcsk4,33,39,24,35,55,35,25,44,31
Pcsk5,259,224,188,310,299,367,737,734,555
Pcsk6,35,38,43,8,8,10,18,11,10
Pcsk7,941,1021,897,628,606,788,555,602,415
Pcsk9,0,2,0,0,0,2,0,0,0
Pctp,125,123,74,21,20,26,31,28,33
Pcyox1,2422,2416,1874,770,766,1036,915,876,654
Pcyox1l,191,158,147,19,23,14,11,32,20
Pcyt1a,919,871,821,2223,2107,2628,1892,1612,1334
Pcyt1b,7,1,2,0,0,0,0,1,2
Pcyt2,937,1133,797,170,205,221,291,270,261
Pdap1,4998,5290,4105,2520,2370,2248,3190,2651,2537
Pdc,0,0,0,0,0,0,0,0,0
Pdcd1,0,0,0,0,0,0,0,0,0
Pdcd10,1875,1594,1323,3160,2852,4291,2526,2591,1780
Pdcd11,5173,4984,3775,2787,2561,2739,2019,2093,1608
Pdcd1lg2,0,0,0,0,0,0,0,0,0
Pdcd2,646,639,557,545,562,678,410,385,401
Pdcd2l,240,224,187,100,114,118,143,115,106
Pdcd4,874,987,683,360,352,411,229,236,188
Pdcd5,1,1,0,0,0,0,0,0,0
Pdcd6,3528,3253,2624,3947,3781,4146,4082,3963,3053
Pdcd6ip,10373,9879,8460,11557,10512,14955,14789,13991,10550
Pdcd7,488,517,487,417,388,478,224,276,220
Pdcl,655,588,541,399,397,456,281,296,184
Pdcl3,1623,1795,1506,638,708,755,655,607,515
Pddc1,12,4,5,3,1,7,5,0,0
Pde10a,0,0,0,0,0,0,0,0,0
Pde11a,0,0,0,0,0,0,0,0,0
Pde12,609,528,464,651,634,911,417,474,364
Pde1a,0,0,0,0,0,0,0,0,0
Pde1b,1,0,0,0,0,0,6,2,2
Pde1c,0,0,0,0,0,0,0,0,0
Pde2a,13,9,4,15,4,24,0,0,7
Pde3a,47,82,21,28,27,52,172,69,98
Pde3b,66,78,92,18,18,6,46,45,46
Pde4a,5,7,4,9,3,0,1,1,0
Pde4b,0,0,0,0,0,0,0,0,0
Pde4c,86,101,83,126,112,151,66,55,49
Pde4d,47,12,30,9,6,10,0,11,1
Pde4dip,418,480,419,88,115,130,133,101,99
Pde5a,174,163,214,104,116,113,119,123,97
Pde6a,0,0,0,0,0,0,0,0,0
Pde6b,7,4,2,0,3,0,1,1,2
Pde6c,0,0,0,0,0,0,4,1,0
Pde6d,431,468,397,88,134,102,156,179,138
Pde6h,0,0,0,0,0,0,0,0,0
Pde7a,1215,1316,765,266,211,352,310,294,218
Pde7b,0,0,0,0,0,0,0,0,0
Pde8a,41,48,56,143,148,188,83,63,41
Pde8b,14,24,29,0,0,0,0,0,0
Pde9a,0,0,0,0,0,0,0,0,0
Pdgfa,1485,1429,940,410,372,487,244,266,180
Pdgfb,44,48,16,5,7,1,66,72,42
Pdgfc,135,110,58,6,14,8,32,42,26
Pdgfd,1,3,0,0,0,0,0,0,1
Pdgfra,32,38,46,7,7,27,10,27,7
Pdgfrb,0,0,0,0,0,0,0,0,0
Pdgfrl,1,2,3,0,0,0,0,0,0
Pdha1,4258,3868,3291,2814,2819,3513,2578,2346,1924
Pdha2,0,0,0,0,0,0,0,0,0
Pdhb,1845,1751,1149,1338,1291,1534,1379,1188,1044
Pdhx,522,453,383,460,373,500,301,293,204
Pdia3,18020,22174,19270,16012,15709,18382,16092,16721,12175
Pdia4,3374,6229,6675,2088,2047,2083,2351,2519,1739
Pdia5,21,28,30,7,6,0,10,0,2
Pdia6,5289,7854,6635,5576,5257,5854,5237,5710,3648
Pdik1l,194,179,184,134,158,160,76,91,70
Pdilt,0,0,0,0,0,0,0,0,0
Pdk1,1537,1652,1304,844,729,1101,813,696,671
Pdk2,291,247,146,135,102,75,81,77,77
Pdk3,480,437,409,129,160,203,187,160,126
Pdk4,0,0,0,0,1,17,0,0,0
Pdlim1,8205,7484,5700,2970,2502,2826,2920,2984,2327
Pdlim2,2385,2322,1856,1463,1545,1653,2078,2007,1960
Pdlim3,0,0,0,0,0,1,0,0,0
Pdlim4,4,0,4,0,0,0,0,0,3
Pdlim5,2716,2749,2037,565,649,822,2437,2263,1898
Pdlim7,1947,1948,1496,2127,2121,2440,2303,2197,1758
Pdp1,639,739,713,570,510,604,357,297,266
Pdp2,484,562,391,563,400,580,520,533,447
Pdpk1,704,630,551,921,865,1097,976,861,760
Pdpn,1694,1835,1385,2892,2738,3035,5404,5217,4044
Pdpr,105,104,81,52,29,44,35,17,34
Pdrg1,721,849,614,575,449,435,630,525,511
Pds5a,3300,3265,3003,2403,2171,3234,1712,1593,1167
Pds5b,1120,1320,1022,319,265,425,358,326,250
Pdss2,285,275,196,43,24,28,57,39,41
Pdx1,0,0,0,0,0,0,0,0,0
Pdxdc1,912,1023,757,509,593,641,483,472,364
Pdxk,385,285,244,92,91,129,72,74,65
Pdxp,260,230,158,89,72,70,47,12,23
Pdyn,0,0,0,0,0,0,0,0,0
Pdzd11,507,638,445,348,340,394,619,509,433
Pdzd2,43,36,29,19,16,19,31,13,12
Pdzd3,89,38,38,21,31,53,37,40,37
Pdzd4,55,48,50,16,13,25,2,6,14
Pdzd7,19,18,16,11,8,3,5,0,6
Pdzd8,2259,2215,1957,1968,1790,2530,1215,1164,903
Pdzd9,4,4,4,0,0,3,1,6,0
Pdzk1,163,154,164,31,34,44,42,22,29
Pdzk1ip1,70,63,43,44,44,26,61,44,50
Pdzrn3,103,128,88,9,5,17,6,1,6
Pdzrn4,0,0,0,0,0,0,0,0,0
Pea15,2258,2468,2162,3530,3620,3965,5975,5827,4574
Peak1,635,655,568,1480,1281,1627,652,793,551
Pear1,135,122,99,118,87,128,78,55,71
Pebp1,6063,6591,4799,4592,4626,4675,5462,4990,5185
