"","A1","A2","A3","B1","B2","B3","C1","C2","C3"
"Mcoln3",9.77540978263413,14.5484216682245,5.98872504988198,90.3499570516391,92.1727165581928,98.2506146098424,21.9178937569295,9.31562186921523,63.1300726065469
"Mcpt1",0,0,0,0,0,0,0,0,0
"Mcpt10",0,0,0,0,0,0,0,0,0
"Mcpt1l1",0,0,0,7.80802097977128,0,0,3.28768406353942,9.31562186921523,0
"Mcpt2",0,0,0,0,0,0,0,0,0
"Mcpt3",0,0,0,0,0,0,0,3.49335820095571,0
"Mcpt4",0,0,0,1.11543156853875,0,0,10.9589468784647,4.65781093460761,1.40289050236771
"Mcpt8",0,0,0,0,0,0,0,0,0
"Mcpt8l2",0,0,0,0,0,0,0,0,0
"Mcpt9",0,0,0,0,0,0,0,0,0
"Mcrs1",474.107374457755,517.508142198272,503.908436340069,573.33182622892,666.479642805394,625.061052946426,689.317758655431,716.138431195921,683.207674653074
"Mctp2",228.325642780097,280.576703601473,260.081773594875,438.36460643573,413.595523017532,382.709536908815,498.632082970145,450.643207923287,434.89605573399
"Mcts1",370.069084628292,385.186783215849,379.000742442531,287.781344682999,270.609642202899,258.258758403014,255.343462268228,228.232735795773,235.685604397775
"Mcu",543.233486492097,581.936866728981,467.976086040777,345.783786247014,375.781075198786,342.473570925736,558.906290801701,579.897461358648,552.738857932877
"Mcur1",69.8243555902438,76.8988002463297,76.1423613484994,79.1956413662515,90.991015063857,101.993495166408,103.014100657568,100.142935094064,74.3531966254885
"Mdc1",359.595431289755,438.530995999339,589.461651338383,162.853009006658,92.1727165581928,75.7933312704499,117.260731599573,129.254253435361,126.260145213094
"Mdfi",229.722129891902,246.630386375616,224.149423295583,485.212732314358,521.13035900209,436.981304979013,386.850824809805,381.940496637824,408.241136189003
"Mdfic",386.82692996995,451.00107171496,550.962704589142,158.391282732503,244.612209327512,234.86575492448,266.302409146693,260.837412338026,231.476932890672
"Mdga1",8.37892267082925,13.8556396840234,17.1106429996628,18.9623366651588,12.9987164376939,2.80716041742407,9.86305219061825,8.15116913556333,7.01445251183854
"Mdga2",0,0,0,0,0,0,0,0,0
"Mdh1",1709.30022484917,1851.11346178552,1979.70139506099,882.306370714154,922.908867076264,993.73478776812,1220.82668226097,1313.50268355935,1276.63035715461
"Mdh1b",2.79297422360975,2.77112793680467,0.85553214998314,0,0,0,0,0,0
"Mdh2",3712.56098673326,3553.97157895199,3312.62048473472,2585.57037587283,2443.75869028645,2474.97976802889,2941.38134217993,2693.37917293685,2923.6238069343
"Mdk",31.4209600156097,51.9586488150876,39.3544788992244,61.3487362696315,44.9046567847606,23.3930034785339,37.2604193867801,50.0714675470319,64.5329631089146
"Mdm1",251.367680124878,318.679712732537,470.542682490727,191.854229788666,148.894388286312,165.62246462802,557.810396113854,435.505322385812,469.968318293182
"Mdm2",7834.29269722535,8776.8549578446,8274.70695463693,9950.76502293422,9687.58885056493,9437.67332337972,9597.84567615941,10639.6046273774,8495.90488233884
"Mdm4",331.665689053658,378.258963373838,520.163547189749,534.291721330063,511.676747047404,533.360479310573,579.728289870784,596.199799629775,517.666595373684
"Mdp1",352.612995730731,392.807385042062,407.233303391975,149.467830184193,161.893104724005,145.03662156691,234.521463199145,171.17455184683,228.671151885936
"Me1",785.524000390242,796.699281831343,616.838680137844,824.303929150139,983.17564328739,1000.28482874211,989.592903125365,1029.37621654828,866.986330463244
"Me2",540.440512268487,529.285435929692,550.962704589142,223.086313707751,170.165015184356,164.686744488879,140.274520044348,156.036666309355,168.346860284125
"Me3",0,0,0,0,1.18170149433581,0,0,0,0
"Mea1",1521.47270831141,1660.5984161302,1511.72530902021,1513.64063850709,1707.55865931524,1403.58020871203,2147.95358817909,2022.65439835336,2476.10173667901
"Meaf6",244.385244565853,279.883921617272,314.835831193795,157.275851163964,164.256507712677,174.979666019434,70.1372600221742,93.1562186921523,79.9647586349594
"Mecom",733.15573369756,704.559277932588,656.193159037068,354.707238795324,376.962776693122,333.116369534323,735.345335544983,794.156764350598,615.868930539424
"Mecp2",138.950467624585,173.888278034493,183.939412246375,268.81900801784,243.430507833176,231.122874367915,272.877777273772,279.468656076457,307.233020018528
"Mecr",181.543324534634,139.249178824435,173.673026446577,46.8481258786277,53.1765672451113,19.6501229219685,42.7398928260124,32.6046765422533,50.5040580852375
"Med1",1332.24870466185,1368.93720078151,1322.65270387393,1956.46697121697,1828.09221173749,1869.56883800443,1559.45814080553,1519.61081741573,1454.79745095531
"Med10",1108.11252321717,1017.69673479152,929.963447031673,1622.95293222389,1570.48128597229,1425.10177191229,2095.35064316246,1948.12942339963,2227.79011775992
"Med11",142.441685404097,153.104818508458,188.217072996291,54.6561468583989,57.9033732224545,56.1432083484814,43.8357875138589,78.0183331546775,93.9936636586365
"Med12",551.612409162926,588.171904586792,615.127615837877,774.109508565895,681.84176223176,763.547633539347,647.673760517265,677.711490985408,528.889719392626
"Med12l",114.511943168,112.92346342479,109.508115197842,46.8481258786277,34.2693433357384,34.6216451482302,85.4797856520249,115.280820631538,71.5474156207531
"Med13",735.250464365267,707.330405869393,731.479988235585,3773.5049963666,3227.22678103109,3651.17998292957,3690.97330866692,3485.20703182015,3124.23714877289
"Med14",769.464398604486,696.938676106375,784.522981534539,952.578559532096,932.362479030951,1229.53626283174,667.399864898502,656.751341779674,577.990886975496
"Med15",2022.11333789346,2148.31693300782,2114.87547475832,2608.99443881215,2545.38501879933,3289.05628908187,2764.94229743665,3062.51068950451,2662.68617349391
"Med16",551.612409162926,471.091749256794,501.34183989012,262.126418606607,301.33388105563,347.152171621443,338.63145854456,331.869029090793,340.902392075353
"Med17",336.553393944975,286.118959475082,373.867549542632,470.712121923354,485.679314172016,583.889366824206,341.919142608099,315.566690819666,345.111063582456
"Med18",215.059015217951,297.896253206502,274.625820144588,204.123977042592,190.253940588065,247.965836872459,197.261043812365,165.35228817857,206.224903848053
"Med19",806.471307067315,905.466053350927,846.976828483308,1950.88981337428,2025.43636129157,2051.09854499785,1835.62360214284,1717.56778213656,1599.29517269919
"Med20",414.756672206048,405.970242741884,391.833724692278,539.868879172757,510.495045553068,615.703851555012,456.988084831979,456.465471591546,485.400113819227
"Med21",242.988757454048,211.991287165557,242.115598445229,336.860333698704,267.064537719892,252.644437568166,254.247567580382,218.917113926558,270.757866956968
"Med22",5.5859484472195,4.84947388940818,0.85553214998314,3.34629470561626,0,0,7.67126281492531,4.65781093460761,7.01445251183854
"Med23",903.527161337754,856.278532472644,851.254489233224,823.1884975816,879.185911785839,1032.09931347292,855.893751208095,950.193430659953,791.230243335387
"Med24",1830.09636002029,1776.2930074918,1945.48010906166,1836.00036181479,1852.90794311854,1890.15468106554,1752.33560586651,1946.96497066598,1484.25815150504
"Med25",837.194023527023,926.249512876962,947.074090031336,843.266265815298,893.366329717869,996.541948185544,926.031011230269,915.259848650396,941.339527088732
"Med26",180.845080978731,221.690234944374,204.47218384597,382.593028008793,397.051702096831,357.445093151998,269.590093210232,225.903830328469,315.650363032734
"Med27",356.802457066146,314.52302082733,353.334777943037,211.931998022363,185.527134610721,266.680239655287,93.1510484669502,125.760895234406,110.828349687049
"Med28",835.099292859315,859.049660409448,820.455331833831,798.649003073748,909.91015063857,978.763265541859,709.043863036668,837.241515495719,897.849921515333
"Med29",603.282432299706,532.749345850698,611.705487237945,399.324501536874,382.871284164801,426.688383448458,424.111244196585,492.563506334755,562.559091449451
"Med30",241.592270342243,221.690234944374,261.792837894841,52.4252837213214,55.5399702337829,80.4719319661566,113.973047536033,126.925347968057,116.43991169652
"Med31",189.922247205463,135.785268903429,137.740676147286,142.77524077296,154.802895757991,158.136703514889,144.658098795734,171.17455184683,138.886159734403
"Med4",275.806204581463,312.444674874727,361.034567292885,369.207849186328,355.692149795078,298.494724386093,253.151672892535,197.956964720824,202.01623234095
"Med6",473.409130901853,423.982574331115,516.741418589816,688.221277788411,675.933254760081,781.326316183032,323.288932914709,340.020198226356,286.189662483012
"Med7",326.777984162341,315.215802811531,316.546895493762,352.476375658246,281.244955651922,375.223775795684,292.603881655008,295.770994347583,259.534742938026
"Med8",286.27985792,243.859258438811,257.515177144925,480.751006040203,558.944806820836,669.975619625211,407.672823878888,387.762760306084,419.464260207945
"Med9",334.458663277268,315.215802811531,373.012017392649,81.426504503329,131.168865871274,97.314894470701,126.027889102344,156.036666309355,134.6774882273
"Mef2a",842.08172841834,865.97748025146,982.150908180644,2920.19984643446,2722.6402429497,3218.87727864627,2395.62578763239,2640.97879992252,2229.19300826229
"Mef2b",6.28419200312194,6.23503785781051,0.85553214998314,8.92345254831003,8.27191046035064,10.2929215305549,1.09589468784647,0,0
"Mef2bnb",210.869553882536,216.147979070764,269.492627244689,158.391282732503,161.893104724005,181.529706993423,164.384203176971,236.383904931336,245.505837914349
"Mef2d",830.909831523901,827.181689136195,804.200220984151,1055.19826383766,1081.25686731726,1150.00005100473,1196.71699912835,1238.97770860563,1155.98177395099
"Mefv",0,0,0,0,2.36340298867161,0,1.09589468784647,0,0
"Megf10",0,0,0,0,0,0,0,0,0
"Megf6",0.698243555902438,0,0.85553214998314,0,0,0,0,0,0
"Megf8",998.488284940486,1095.98109900625,893.175564582398,1070.8143057972,1011.53647915145,1091.98540237796,1800.55497213175,1575.50454863103,2126.78200158945
"Megf9",448.272362889365,442.687687904546,461.131828840912,265.472713312223,205.61606001443,240.480075759329,301.37103915778,259.672959604375,245.505837914349
"Mei1",5.5859484472195,6.23503785781051,0,5.57715784269377,1.18170149433581,5.61432083484814,0,1.1644527336519,2.80578100473542
"Mei4",0,0,0,0,0,0,0,0,0
"Meig1",0,0,0,0,0,0,0,0,0
